Year,Lower Bound,Single,Married Filing Seperately,Married Filing Jointly,Head of Household
1963,763729.9342105264,0.87,0.87,,0.8
1963,848588.8157894737,0.89,0.89,0.75,0.8300000000000001
1963,1018306.5789473684,,,0.78,
1963,1188024.3421052631,,,0.81,
1963,1272883.2236842106,0.9,0.9,,0.87
1963,1357742.105263158,,,0.84,
1963,1527459.8684210528,,,0.87,
1963,1697177.6315789474,0.91,0.91,0.89,0.9
1963,2545766.447368421,,,0.9,0.91
1963,3394355.263157895,,,0.91,
1964,0.0,0.16,0.16,0.16,0.16
1964,4174.288025889968,0.165,0.165,,
1964,8348.576051779935,0.17500000000000002,0.17500000000000002,0.165,0.17500000000000002
1964,12522.864077669903,0.18,0.18,,
1964,16697.15210355987,0.2,0.2,0.17500000000000002,0.19
1964,25045.728155339806,,,0.18,
1964,33394.30420711974,0.235,0.235,0.2,0.22
1964,50091.45631067961,0.27,0.27,,0.23
1964,66788.60841423948,0.305,0.305,0.235,0.27
1964,83485.76051779935,0.34,0.34,,0.29
1964,100182.91262135922,0.375,0.375,0.27,0.32
1964,116880.0647249191,0.41,0.41,,0.34
1964,133577.21682847897,0.445,0.445,0.305,0.375
1964,150274.36893203884,0.475,0.475,,0.39
1964,166971.5210355987,0.505,0.505,0.34,0.425
1964,183668.67313915858,0.535,0.535,,0.435
1964,200365.82524271845,,,0.375,0.455
1964,217062.97734627832,0.56,0.56,,0.47
1964,233760.1294498382,,,0.41,0.485
1964,267154.43365695793,0.585,0.585,0.445,0.515
1964,300548.7378640777,,,0.475,0.53
1964,317245.88996763754,0.61,0.61,,0.54
1964,333943.0420711974,,,0.505,0.56
1964,367337.34627831716,0.635,0.635,0.535,0.585
1964,417428.80258899677,0.66,0.66,,0.595
1964,434125.95469255664,,,0.56,0.61
1964,500914.5631067961,0.685,0.685,,0.62
1964,534308.8673139159,,,0.585,0.635
1964,584400.3236245955,0.71,0.71,,0.65
1964,634491.7799352751,,,0.61,0.66
1964,667886.0841423948,0.735,0.735,,0.67
1964,734674.6925566343,,,0.635,0.6900000000000001
1964,751371.8446601942,0.75,0.75,,0.6950000000000001
1964,834857.6051779935,0.765,0.765,0.66,0.71
1964,1001829.1262135922,,,0.685,0.725
1964,1168800.647249191,,,0.71,0.74
1964,1335772.1682847897,,,0.735,0.75
1964,1502743.6893203885,,,0.75,0.755
1964,1669715.210355987,0.77,0.77,0.765,0.77
1964,3339430.420711974,,,0.77,
1965,0.0,0.14,0.14,0.14,0.14
1965,4134.150641025642,0.15,0.15,,
1965,8268.301282051283,0.16,0.16,0.15,0.16
1965,12402.451923076924,0.17,0.17,,
1965,16536.602564102566,0.19,0.19,0.16,0.18
1965,24804.903846153848,,,0.17,
1965,33073.20512820513,0.22,0.22,0.19,0.2
1965,49609.807692307695,0.25,0.25,,0.22
1965,66146.41025641026,0.28,0.28,0.22,0.25
1965,82683.01282051283,0.32,0.32,,0.27
1965,99219.61538461539,0.36,0.36,0.25,0.31
1965,115756.21794871795,0.39,0.39,,0.32
1965,132292.82051282053,0.42,0.42,0.28,0.35000000000000003
